马来西亚,#genre#
CCTV-5+ 體育,http://52xinghe.top/smmmt.php?id=cctv5plus&h=52xinghe.top&p=7788
Supersports 2,http://52xinghe.top/smmmt.php?id=Assp2&h=52xinghe.top&p=7788
Astro Grandstand,http://52xinghe.top/smmmt.php?id=go_assp3&h=52xinghe.top&p=7788
Astro Cricket,http://52xinghe.top/smmmt.php?id=Acricket&h=52xinghe.top&p=7788
Tnt Sports 1,http://52xinghe.top/smmmt.php?id=tntsport1&h=52xinghe.top&p=7788
Astro Grandstand (Back Up 1),http://52xinghe.top/smmmt.php?id=Assp3&h=52xinghe.top&p=7788
TNT Sports 2,http://52xinghe.top/smmmt.php?id=tntsport2&h=52xinghe.top&p=7788
TNT Sports 3,http://52xinghe.top/smmmt.php?id=tntsport3&h=52xinghe.top&p=7788
TNT Sports 4,http://52xinghe.top/smmmt.php?id=tntsport4&h=52xinghe.top&p=7788
Astro Sports Plus,http://52xinghe.top/smmmt.php?id=go_sportsplus&h=52xinghe.top&p=7788
Elta体育1台,http://52xinghe.top/smmmt.php?id=eltasport1_twn&h=52xinghe.top&p=7788
Elta體育2台,http://52xinghe.top/smmmt.php?id=eltasport2_twn&h=52xinghe.top&p=7788
Elta體育3台,http://52xinghe.top/smmmt.php?id=eltasport3_twn&h=52xinghe.top&p=7788
Rugby Pass TV,http://52xinghe.top/smmmt.php?id=Rugbypasstv&h=52xinghe.top&p=7788
Astro Beinsports 1,http://52xinghe.top/smmmt.php?id=Astrobein1&h=52xinghe.top&p=7788
Astro Beinsports 2,http://52xinghe.top/smmmt.php?id=Astrobein2&h=52xinghe.top&p=7788
Astro Beinsports 3,http://52xinghe.top/smmmt.php?id=Astrobein3&h=52xinghe.top&p=7788
Skysports Cricket,http://52xinghe.top/smmmt.php?id=tiankongcricket&h=52xinghe.top&p=7788
Skysports EPL,http://52xinghe.top/smmmt.php?id=tiankongepl&h=52xinghe.top&p=7788
Skysports F1,http://52xinghe.top/smmmt.php?id=tiankongf1&h=52xinghe.top&p=7788
Skysports Golf,http://52xinghe.top/smmmt.php?id=tiankonggolf&h=52xinghe.top&p=7788
Skysports Main Event,http://52xinghe.top/smmmt.php?id=tiankongmain&h=52xinghe.top&p=7788
Skysports Mix,http://52xinghe.top/smmmt.php?id=tiankongmix&h=52xinghe.top&p=7788
Skysports Racing,http://52xinghe.top/smmmt.php?id=tiankongracing&h=52xinghe.top&p=7788
DAZN 1,http://52xinghe.top/smmmt.php?id=dazn1_twn&h=52xinghe.top&p=7788
DAZN 2,http://52xinghe.top/smmmt.php?id=dazn2_twn&h=52xinghe.top&p=7788
Eurosport,http://52xinghe.top/smmmt.php?id=Eurosport&h=52xinghe.top&p=7788
台湾,#genre#
TVBS 歡樂台,http://52xinghe.top/smmmt.php?id=tvbshuanle_twn&h=52xinghe.top&p=7788
TVBS HD,http://52xinghe.top/smmmt.php?id=tvbs&h=52xinghe.top&p=7788
中天娱乐 CTI Entertaiment,http://52xinghe.top/smmmt.php?id=ctient&h=52xinghe.top&p=7788
中天综合 CTI Metro,http://52xinghe.top/smmmt.php?id=ctizhonghe&h=52xinghe.top&p=7788
中天亚洲台,http://52xinghe.top/smmmt.php?id=ctiasia_twn&h=52xinghe.top&p=7788
台视 TTV HD,http://52xinghe.top/smmmt.php?id=ttv_taiwan&h=52xinghe.top&p=7788
台视综合台,http://52xinghe.top/smmmt.php?id=ttvzhonghe&h=52xinghe.top&p=7788
中视 HD,http://52xinghe.top/smmmt.php?id=zhongshihd_twn&h=52xinghe.top&p=7788
民视 HD,http://52xinghe.top/smmmt.php?id=ftvhd_taiwan&h=52xinghe.top&p=7788
民视台湾台,http://52xinghe.top/smmmt.php?id=ftvtaiwan_twn&h=52xinghe.top&p=7788
华视 CTS HD,http://52xinghe.top/smmmt.php?id=ctshd_twn&h=52xinghe.top&p=7788
公视 CTV,http://52xinghe.top/smmmt.php?id=ctv18_twn&h=52xinghe.top&p=7788
八大第一 GTV First,http://52xinghe.top/smmmt.php?id=badafirst&h=52xinghe.top&p=7788
八大综合 GTV Metro,http://52xinghe.top/smmmt.php?id=badazhonghe&h=52xinghe.top&p=7788
八大戏剧 GTV Drama,http://52xinghe.top/smmmt.php?id=badadrama&h=52xinghe.top&p=7788
八大娱乐 GTV Entertainment,http://52xinghe.top/smmmt.php?id=badaentertain&h=52xinghe.top&p=7788
HBO_HD,http://52xinghe.top/smmmt.php?id=hbohd_twn&h=52xinghe.top&p=7788
HBO_HITS,http://52xinghe.top/smmmt.php?id=hbohits_twn&h=52xinghe.top&p=7788
HBO Signature Taiwan,http://52xinghe.top/smmmt.php?id=hbosignature_twn&h=52xinghe.top&p=7788
Hollywood Movies,http://52xinghe.top/smmmt.php?id=hollywoodmovies_twn&h=52xinghe.top&p=7788
三立台湾 Sanli Taiwan,http://52xinghe.top/smmmt.php?id=sanlitaiwan&h=52xinghe.top&p=7788
三立戏剧台,http://52xinghe.top/smmmt.php?id=sanlixiju_twn&h=52xinghe.top&p=7788
三立综合 Sanli Metro,http://52xinghe.top/smmmt.php?id=sanlizhonghe&h=52xinghe.top&p=7788
三立都会台,http://52xinghe.top/smmmt.php?id=sanlidouhui_twn&h=52xinghe.top&p=7788
东森综合 ETTV Metro,http://52xinghe.top/smmmt.php?id=ettvzhonghe&h=52xinghe.top&p=7788
东森戏剧 ETTV Drama,http://52xinghe.top/smmmt.php?id=ettvdrama&h=52xinghe.top&p=7788
公视2,http://52xinghe.top/smmmt.php?id=ctv2_twn&h=52xinghe.top&p=7788
大爱1台,http://52xinghe.top/smmmt.php?id=daai_twn&h=52xinghe.top&p=7788
龙华戏剧 Lunghua Drama,http://52xinghe.top/smmmt.php?id=lunghuaxiju_twn&h=52xinghe.top&p=7788
龙华经典台,http://52xinghe.top/smmmt.php?id=lunghuajingdian_twn&h=52xinghe.top&p=7788
龙华偶像,http://52xinghe.top/smmmt.php?id=lunghuaidol_twn&h=52xinghe.top&p=7788
AXN Taiwan,http://52xinghe.top/smmmt.php?id=axn_twn&h=52xinghe.top&p=7788
靖天国际台,http://52xinghe.top/smmmt.php?id=jingtianintl_twn&h=52xinghe.top&p=7788
CINEMAX,http://52xinghe.top/smmmt.php?id=cinemax_twn&h=52xinghe.top&p=7788
年代新闻,http://52xinghe.top/smmmt.php?id=niandainews_twn&h=52xinghe.top&p=7788
纬来日本台,http://52xinghe.top/smmmt.php?id=videolandjapan&h=52xinghe.top&p=7788
纬来电影台,http://52xinghe.top/smmmt.php?id=videolandmovie&h=52xinghe.top&p=7788
纬来体育台,http://52xinghe.top/smmmt.php?id=videolandsport&h=52xinghe.top&p=7788
纬来综合台,http://52xinghe.top/smmmt.php?id=videolandzonghe&h=52xinghe.top&p=7788
纬来育乐,http://52xinghe.top/smmmt.php?id=videolandmax&h=52xinghe.top&p=7788
纬来精彩,http://52xinghe.top/smmmt.php?id=videolandtv&h=52xinghe.top&p=7788
DW (Deutsch),http://52xinghe.top/smmmt.php?id=dw_twn&h=52xinghe.top&p=7788
好消息 2,http://52xinghe.top/smmmt.php?id=good2_twn&h=52xinghe.top&p=7788
大爱2台,http://52xinghe.top/smmmt.php?id=daai2_twn&h=52xinghe.top&p=7788
亚洲美食,http://52xinghe.top/smmmt.php?id=afc_twn&h=52xinghe.top&p=7788
亚洲旅游 TLC Asia,http://52xinghe.top/smmmt.php?id=tlc_twn&h=52xinghe.top&p=7788
东森电影 ETTV Movie,http://52xinghe.top/smmmt.php?id=ettvmovie&h=52xinghe.top&p=7788
阿里郎 Arirang,http://52xinghe.top/smmmt.php?id=arirang_twn&h=52xinghe.top&p=7788
博斯运动 1,http://52xinghe.top/smmmt.php?id=bosisport1_twn&h=52xinghe.top&p=7788
博斯运动 2,http://52xinghe.top/smmmt.php?id=bosisport2_twn&h=52xinghe.top&p=7788
博斯高球2 HD,http://52xinghe.top/smmmt.php?id=bosigolf2_twn&h=52xinghe.top&p=7788
博斯网球 HD,http://52xinghe.top/smmmt.php?id=bositennis_twn&h=52xinghe.top&p=7788
东森洋片 ETTV Western,http://52xinghe.top/smmmt.php?id=ettvwestern&h=52xinghe.top&p=7788
龙华洋片 Lunghua Western,http://52xinghe.top/smmmt.php?id=lunghuawestern_twn&h=52xinghe.top&p=7788
博斯无限,http://52xinghe.top/smmmt.php?id=bosiunlimited_twn&h=52xinghe.top&p=7788
MTV Live,http://52xinghe.top/smmmt.php?id=mtvhd_twn&h=52xinghe.top&p=7788
龙详时代,http://52xinghe.top/smmmt.php?id=lungxiangtime_twn&h=52xinghe.top&p=7788
EYETV 旅游,http://52xinghe.top/smmmt.php?id=eyetvtravel_twn&h=52xinghe.top&p=7788
靖天卡通台,http://52xinghe.top/smmmt.php?id=jingtiancartoon_twn&h=52xinghe.top&p=7788
EYETV 戏剧,http://52xinghe.top/smmmt.php?id=eyetvxiju_twn&h=52xinghe.top&p=7788
卫视中文台 Star Movies Chinese,http://52xinghe.top/smmmt.php?id=weishichinese_twn&h=52xinghe.top&p=7788
东森幼幼 Yoyo TV,http://52xinghe.top/smmmt.php?id=yoyo_twn&h=52xinghe.top&p=7788
美亚电影,http://52xinghe.top/smmmt.php?id=meiyamovie_twn&h=52xinghe.top&p=7788
爱尔达戏剧台,http://52xinghe.top/smmmt.php?id=eltadrama_twn&h=52xinghe.top&p=7788
TVBS News 新聞台,http://52xinghe.top/smmmt.php?id=tvbs_n&h=52xinghe.top&p=7788
Asia Food Network,http://52xinghe.top/smmmt.php?id=Afc&h=52xinghe.top&p=7788
東森新聞 ETTV News,http://52xinghe.top/smmmt.php?id=ettvnews&h=52xinghe.top&p=7788
東森財經新聞 ETTV Business,http://52xinghe.top/smmmt.php?id=ettvcaijing_twn&h=52xinghe.top&p=7788
中天新聞 CTI News,http://52xinghe.top/smmmt.php?id=ctinews&h=52xinghe.top&p=7788
非凡新聞台,http://52xinghe.top/smmmt.php?id=feifannews_twn&h=52xinghe.top&p=7788
台視新聞台 TTV News,http://52xinghe.top/smmmt.php?id=ttvnews_twn&h=52xinghe.top&p=7788
Elta体育1台,http://52xinghe.top/smmmt.php?id=eltasport1_twn&h=52xinghe.top&p=7788
Elta體育2台,http://52xinghe.top/smmmt.php?id=eltasport2_twn&h=52xinghe.top&p=7788
Elta體育3台,http://52xinghe.top/smmmt.php?id=eltasport3_twn&h=52xinghe.top&p=7788
民視新聞台 FTV News,http://52xinghe.top/smmmt.php?id=ftvnew_taiwan&h=52xinghe.top&p=7788
寰宇新聞台,http://52xinghe.top/smmmt.php?id=huanyuxinwen_twn&h=52xinghe.top&p=7788
中視新聞台,http://52xinghe.top/smmmt.php?id=zhongshinews_twn&h=52xinghe.top&p=7788
DAZN 1,http://52xinghe.top/smmmt.php?id=dazn1_twn&h=52xinghe.top&p=7788
DAZN 2,http://52xinghe.top/smmmt.php?id=dazn2_twn&h=52xinghe.top&p=7788
探索频道,http://52xinghe.top/smmmt.php?id=discoverych_twn&h=52xinghe.top&p=7788
新闻频道,#genre#
ABC News,http://52xinghe.top/smmmt.php?id=abcnews_glo&h=52xinghe.top&p=7788
iNews 互動新聞台,http://52xinghe.top/smmmt.php?id=inews_twn&h=52xinghe.top&p=7788
CBS HD,http://52xinghe.top/smmmt.php?id=cbshd_glo&h=52xinghe.top&p=7788
CBSN HD,http://52xinghe.top/smmmt.php?id=cbsn_glo&h=52xinghe.top&p=7788
CCTV-13 新聞與頻道,http://52xinghe.top/smmmt.php?id=cctv13&h=52xinghe.top&p=7788
CGTN,http://52xinghe.top/smmmt.php?id=CGTN&h=52xinghe.top&p=7788
DW (Deutsch),http://52xinghe.top/smmmt.php?id=dw_twn&h=52xinghe.top&p=7788
Fox News,http://52xinghe.top/smmmt.php?id=foxnews_twn&h=52xinghe.top&p=7788
NHK World,http://52xinghe.top/smmmt.php?id=nhkworld_japan&h=52xinghe.top&p=7788
TVBS News 新聞台,http://52xinghe.top/smmmt.php?id=tvbs_n&h=52xinghe.top&p=7788
Al-Jazeera,http://52xinghe.top/smmmt.php?id=aljazeera_twn&h=52xinghe.top&p=7788
Bloomberg News,http://52xinghe.top/smmmt.php?id=bloomberg_twn&h=52xinghe.top&p=7788
東森新聞 ETTV News,http://52xinghe.top/smmmt.php?id=ettvnews&h=52xinghe.top&p=7788
東森財經新聞 ETTV Business,http://52xinghe.top/smmmt.php?id=ettvcaijing_twn&h=52xinghe.top&p=7788
中天新聞 CTI News,http://52xinghe.top/smmmt.php?id=ctinews&h=52xinghe.top&p=7788
非凡新聞台,http://52xinghe.top/smmmt.php?id=feifannews_twn&h=52xinghe.top&p=7788
台視新聞台 TTV News,http://52xinghe.top/smmmt.php?id=ttvnews_twn&h=52xinghe.top&p=7788
民視新聞台 FTV News,http://52xinghe.top/smmmt.php?id=ftvnew_taiwan&h=52xinghe.top&p=7788
Al_Jazeera,http://52xinghe.top/smmmt.php?id=Aljazeera&h=52xinghe.top&p=7788
寰宇新聞台,http://52xinghe.top/smmmt.php?id=huanyuxinwen_twn&h=52xinghe.top&p=7788
中視新聞台,http://52xinghe.top/smmmt.php?id=zhongshinews_twn&h=52xinghe.top&p=7788
CNN,http://52xinghe.top/smmmt.php?id=Cnn&h=52xinghe.top&p=7788
CNN backup,http://52xinghe.top/smmmt.php?id=cnn_twn&h=52xinghe.top&p=7788
BBC World News,http://52xinghe.top/smmmt.php?id=Bbcnews&h=52xinghe.top&p=7788
BBC World News,http://52xinghe.top/smmmt.php?id=Bbcnews&h=52xinghe.top&p=7788
CNBC,http://52xinghe.top/smmmt.php?id=Cnbc&h=52xinghe.top&p=7788
Bloomberg TV,http://52xinghe.top/smmmt.php?id=Bloomberg&h=52xinghe.top&p=7788
CNA,http://52xinghe.top/smmmt.php?id=cna&h=52xinghe.top&p=7788
DW,http://52xinghe.top/smmmt.php?id=Dw&h=52xinghe.top&p=7788
France 24,http://52xinghe.top/smmmt.php?id=france24_twn&h=52xinghe.top&p=7788
France 24,http://52xinghe.top/smmmt.php?id=France24&h=52xinghe.top&p=7788
Skynews,http://52xinghe.top/smmmt.php?id=Skynews&h=52xinghe.top&p=7788
Skynews,http://52xinghe.top/smmmt.php?id=skynews_twn&h=52xinghe.top&p=7788
NHK Premium,http://52xinghe.top/smmmt.php?id=NHKpremium&h=52xinghe.top&p=7788
印度尼西亚,#genre#
TVRi National,http://52xinghe.top/smmmt.php?id=TVRI&h=52xinghe.top&p=7788
RCTI,http://52xinghe.top/smmmt.php?id=Rcti&h=52xinghe.top&p=7788
Kompass TV,http://52xinghe.top/smmmt.php?id=Kompass&h=52xinghe.top&p=7788
Berita Satu,http://52xinghe.top/smmmt.php?id=BeritaSatu_eko&h=52xinghe.top&p=7788
Indosiar HD,http://52xinghe.top/smmmt.php?id=Indosiar&h=52xinghe.top&p=7788
